dataset,train_fraction,method,short_name,valid_frac,na_count,mean_lead_valid,n_bearings
FEMTO,0.2,3σ Rule (σ=3.0),three_sigma,0.8333333333333334,0,0.22129629629629632,6
FEMTO,0.2,"CUSUM (k=0.5, h=5.0)",cusum,0.8333333333333334,0,0.44120370370370376,6
FEMTO,0.2,Deep SVDD,deep_svdd,0.0,0,0.0,6
FEMTO,0.2,"EWMA (λ=0.2, k=3.0)",ewma,0.8333333333333334,0,0.3601851851851852,6
FEMTO,0.2,Hotelling T²,hotelling_t2,0.6666666666666666,0,0.5060185185185185,6
FEMTO,0.2,Isolation Forest,isolation_forest,0.8333333333333334,0,0.43194444444444446,6
FEMTO,0.2,LSTM-Autoencoder,lstm_ae,0.5,0,0.962037037037037,6
FEMTO,0.2,RMS-Trend (kσ),rms_trend,0.5,0,0.09537037037037037,6
FEMTO,0.2,TCN-Autoencoder,tcn,0.3333333333333333,0,1.0384259259259256,6
FEMTO,0.2,Transformer-AD,transformer_ad,0.5,0,0.899537037037037,6
FEMTO,0.3,3σ Rule (σ=3.0),three_sigma,0.8333333333333334,0,0.22129629629629632,6
FEMTO,0.3,"CUSUM (k=0.5, h=5.0)",cusum,0.6666666666666666,0,0.44120370370370376,6
FEMTO,0.3,Deep SVDD,deep_svdd,0.0,0,0.0,6
FEMTO,0.3,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,0,0.3601851851851852,6
FEMTO,0.3,Hotelling T²,hotelling_t2,0.5,0,0.5060185185185185,6
FEMTO,0.3,Isolation Forest,isolation_forest,0.6666666666666666,0,0.43194444444444446,6
FEMTO,0.3,LSTM-Autoencoder,lstm_ae,0.3333333333333333,0,0.962037037037037,6
FEMTO,0.3,RMS-Trend (kσ),rms_trend,0.5,0,0.09537037037037037,6
FEMTO,0.3,TCN-Autoencoder,tcn,0.16666666666666666,0,1.0384259259259256,6
FEMTO,0.3,Transformer-AD,transformer_ad,0.3333333333333333,0,0.899537037037037,6
FEMTO,0.4,3σ Rule (σ=3.0),three_sigma,0.8333333333333334,0,0.22129629629629632,6
FEMTO,0.4,"CUSUM (k=0.5, h=5.0)",cusum,0.6666666666666666,0,0.44120370370370376,6
FEMTO,0.4,Deep SVDD,deep_svdd,0.0,0,0.0,6
FEMTO,0.4,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,0,0.3601851851851852,6
FEMTO,0.4,Hotelling T²,hotelling_t2,0.5,0,0.5060185185185185,6
FEMTO,0.4,Isolation Forest,isolation_forest,0.6666666666666666,0,0.43194444444444446,6
FEMTO,0.4,LSTM-Autoencoder,lstm_ae,0.3333333333333333,0,0.962037037037037,6
FEMTO,0.4,RMS-Trend (kσ),rms_trend,0.5,0,0.09537037037037037,6
FEMTO,0.4,TCN-Autoencoder,tcn,0.16666666666666666,0,1.0384259259259256,6
FEMTO,0.4,Transformer-AD,transformer_ad,0.3333333333333333,0,0.899537037037037,6
FEMTO,0.5,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,0,0.22129629629629632,6
FEMTO,0.5,"CUSUM (k=0.5, h=5.0)",cusum,0.6666666666666666,0,0.44120370370370376,6
FEMTO,0.5,Deep SVDD,deep_svdd,0.0,0,0.0,6
FEMTO,0.5,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,0,0.3601851851851852,6
FEMTO,0.5,Hotelling T²,hotelling_t2,0.5,0,0.5060185185185185,6
FEMTO,0.5,Isolation Forest,isolation_forest,0.6666666666666666,0,0.43194444444444446,6
FEMTO,0.5,LSTM-Autoencoder,lstm_ae,0.3333333333333333,0,0.962037037037037,6
FEMTO,0.5,RMS-Trend (kσ),rms_trend,0.5,0,0.09537037037037037,6
FEMTO,0.5,TCN-Autoencoder,tcn,0.16666666666666666,0,1.0384259259259256,6
FEMTO,0.5,Transformer-AD,transformer_ad,0.3333333333333333,0,0.899537037037037,6
FEMTO,0.6,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,0,0.22129629629629632,6
FEMTO,0.6,"CUSUM (k=0.5, h=5.0)",cusum,0.6666666666666666,0,0.44120370370370376,6
FEMTO,0.6,Deep SVDD,deep_svdd,0.0,0,0.0,6
FEMTO,0.6,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,0,0.3601851851851852,6
FEMTO,0.6,Hotelling T²,hotelling_t2,0.5,0,0.5060185185185185,6
FEMTO,0.6,Isolation Forest,isolation_forest,0.6666666666666666,0,0.43194444444444446,6
FEMTO,0.6,LSTM-Autoencoder,lstm_ae,0.3333333333333333,0,0.962037037037037,6
FEMTO,0.6,RMS-Trend (kσ),rms_trend,0.5,0,0.09537037037037037,6
FEMTO,0.6,TCN-Autoencoder,tcn,0.16666666666666666,0,1.0384259259259256,6
FEMTO,0.6,Transformer-AD,transformer_ad,0.3333333333333333,0,0.899537037037037,6
