n,label,env,width,page,height_bp,frac_textheight,page_equiv,caption_words,src_line
1,tab:datasets,table,single,4,124.5,0.192,0.108,32,141
2,alg:onset,algorithm,single,5,92.7,0.143,0.084,0,183
3,tab:imsdet,table,single,7,229.9,0.355,0.19,95,265
4,fig:health,figure,single,8,180.4,0.278,0.151,37,291
5,tab:onset,table,single,8,121.5,0.188,0.106,57,301
6,tab:robust,table,single,8,254.5,0.393,0.209,75,325
7,tab:crossds,table,single,9,427.0,0.659,0.342,97,363
8,fig:crossdataset,figure*,full,10,211.8,0.327,0.355,75,418
9,fig:sweep,figure*,full,11,187.5,0.289,0.317,39,436
10,tab:imsongc,table,single,10,206.7,0.319,0.172,75,443
11,tab:perbearing,table,single,11,188.7,0.291,0.158,52,477
12,tab:gatedcontrast,table,single,11,129.9,0.2,0.113,48,505
13,fig:conformal,figure*,full,13,190.2,0.294,0.321,75,532
14,fig:tradeoffs,figure*,full,13,209.1,0.323,0.35,45,553
15,tab:tradeoff,table,single,14,219.6,0.339,0.182,72,562
16,tab:ablation_general,table,single,14,124.9,0.193,0.109,25,593
17,fig:mintrain,figure,single,15,182.8,0.282,0.153,50,633
18,tab:hyperparams,table,single,20,380.1,0.587,0.306,72,703
19,tab:deeparch,table*,full,21,208.0,0.321,0.349,59,754
20,tab:basestats,table,single,21,148.2,0.229,0.127,43,788
21,tab:d17label,table*,full,22,178.8,0.276,0.304,94,814
22,tab:mechanism,table,single,22,243.9,0.376,0.2,79,849
